id,label
1,0.4789442
2,0.42566478
3,0.4701344
4,0.54678833
5,0.5038187
6,0.6057199
7,0.55486465
8,0.62116563
9,0.50361097
10,0.47268438
11,0.4222689
12,0.46328178
13,0.5131818
14,0.5270082
15,0.4931597
16,0.5103364
17,0.5017566
18,0.45706603
19,0.4659366
20,0.48805094
21,0.59297097
22,0.46170086
23,0.51766944
24,0.58844095
25,0.68991405
26,0.5201573
27,0.6509828
28,0.55297464
29,0.6608395
30,0.42249602
31,0.6546595
32,0.5071892
33,0.5600542
34,0.55463815
35,0.48860216
36,0.5298527
37,0.52160066
38,0.5049813
39,0.5785537
40,0.6175394
41,0.50717664
42,0.6249561
43,0.5313685
44,0.51271075
45,0.53697675
46,0.37866026
47,0.56255955
48,0.42156658
49,0.59534484
50,0.70356816
51,0.55463344
52,0.43761963
53,0.6525258
54,0.7080101
55,0.5347692
56,0.45973113
57,0.4708288
58,0.50222653
59,0.4687073
60,0.5192974
61,0.48682058
62,0.4536692
63,0.5608234
64,0.56743574
65,0.5649834
66,0.5036931
67,0.42421672
68,0.36149773
69,0.6205685
70,0.6372741
71,0.46032968
72,0.42540824
73,0.5725944
74,0.56457716
75,0.5521235
76,0.694044
77,0.5187874
78,0.43037686
79,0.48482606
80,0.5143816
81,0.5735418
82,0.56317323
83,0.4258947
84,0.4402559
85,0.5714727
86,0.46916258
87,0.54825956
88,0.514942
89,0.7239298
90,0.5343206
91,0.5662541
92,0.42664817
93,0.45048428
94,0.614919
95,0.5437157
96,0.47386953
97,0.49109963
98,0.4220062
99,0.38315246
100,0.50300294
101,0.57840914
102,0.6457043
103,0.6080131
104,0.4209987
105,0.6007251
106,0.4836721
107,0.5196233
108,0.5236364
109,0.50237745
110,0.50766677
111,0.41754463
112,0.5127124
113,0.67136973
114,0.6551125
115,0.52042407
116,0.5079642
117,0.40052024
118,0.62306815
119,0.33359677
120,0.5851464
121,0.54902065
122,0.48106018
123,0.5081308
124,0.39147747
125,0.41530848
126,0.5733239
127,0.52449894
128,0.54477984
129,0.5582202
130,0.7110537
131,0.5274746
132,0.47451398
133,0.5109834
134,0.57284456
135,0.6306107
136,0.62343323
137,0.46194917
138,0.4197066
139,0.45854414
140,0.51580316
141,0.5267285
142,0.56306726
143,0.4459637
144,0.4398083
145,0.57592076
146,0.51678276
147,0.46327645
148,0.5642916
149,0.51962876
150,0.69552803
151,0.4493122
152,0.47808018
153,0.5684393
154,0.5870239
155,0.56212556
156,0.62946635
157,0.5689483
158,0.58876306
159,0.5581104
160,0.518488
161,0.5579209
162,0.5166591
163,0.5090144
164,0.49491012
165,0.52978975
166,0.48968074
167,0.53224444
168,0.52659076
169,0.5596326
170,0.39286333
171,0.5805857
172,0.45280558
173,0.7008924
174,0.56846106
175,0.6208556
176,0.5508707
177,0.538467
178,0.6924171
179,0.5811712
180,0.5928254
181,0.43424964
182,0.68795323
183,0.6104258
184,0.56236446
185,0.51685447
186,0.45638028
187,0.49242178
188,0.5612786
189,0.54016954
190,0.4359967
191,0.5214307
192,0.5258703
193,0.42636177
194,0.59132844
195,0.688642
196,0.69734156
197,0.55187
198,0.4191498
199,0.54712707
200,0.5870217
201,0.5830178
202,0.5715712
203,0.420421
204,0.6033279
205,0.519607
206,0.5673195
207,0.5252238
208,0.5761557
209,0.5109816
210,0.5735118
211,0.5316508
212,0.517666
213,0.646576
214,0.48625886
215,0.48103037
216,0.60733896
217,0.41606057
218,0.5347973
219,0.46761844
220,0.48244655
221,0.7325488
222,0.56891775
223,0.3798159
224,0.49510643
225,0.47754788
226,0.55562574
227,0.57957107
228,0.46797672
229,0.45771307
230,0.52323514
231,0.5883915
232,0.45097312
233,0.75943345
234,0.5795546
235,0.51771134
236,0.49235848
237,0.5431307
238,0.4900276
239,0.37961316
240,0.5652746
241,0.43899745
242,0.5432605
243,0.38336048
244,0.5239355
245,0.42603138
246,0.4916027
247,0.5215306
248,0.71199983
249,0.44636086
250,0.6018154
251,0.5482664
252,0.58081234
253,0.5655759
254,0.55935913
255,0.47968322
256,0.5346182
257,0.5538105
258,0.48630446
259,0.48393038
260,0.4574145
261,0.42632517
262,0.54802364
263,0.60054976
